hotel_id,name,city,country,tier,price_per_night_inr,star_rating,review_score,amenities,image_url,address
HTL_HYD_01,Taj Falaknuma Palace ('Mirror of the Sky'),Hyderabad,India,Luxury Palace 5-Star,38000,5.0,5.0,"Horse Carriage Arrival, Palace Historian Tour, 101-Seat Dining, Jiva Spa, Italian Marble Terrace",https://images.unsplash.com/photo-1542314831-068cd1dbfeeb?w=800&q=80,"Engine Bowli, Falaknuma, Hyderabad, Telangana"
HTL_HYD_02,ITC Kohenur Luxury Collection Hitec City,Hyderabad,India,Luxury 5-Star,14500,4.9,4.9,"Durgam Cheruvu Lake View, Kaya Kalp Spa, Golconda Pavilion, Rooftop Sky Bar, Infinity Pool",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"Knowledge City, Madhapur, Hitec City, Hyderabad"
HTL_HYD_03,Taj Krishna Banjara Hills,Hyderabad,India,Luxury 5-Star,10500,4.8,4.8,"Manicured Lawns, Firdaus Hyderabadi Cuisine, Large Outdoor Pool, Banqueting, Central Location",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Road No. 1, Banjara Hills, Hyderabad"
HTL_HYD_04,The Park Hyderabad (Hussain Sagar Lakefront),Hyderabad,India,Boutique Design 4-Star,5500,4.6,4.6,"Lake View Infinity Pool, Aqua Night Lounge, Aish Nawabi Dining, Modern Art Decor, Free Wifi",https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80,"22 Raj Bhavan Road, Somajiguda, Hyderabad"
HTL_HYD_05,Zostel Hyderabad Hitec City,Hyderabad,India,Budget / Backpacker,950,4.5,4.5,"Air-Conditioned Dorms, Co-Working Desks, Community Cafe, Gaming Area, High Speed Wifi",https://images.unsplash.com/photo-1555854877-bab0e564b8d5?w=800&q=80,"Kondapur, Near Botanical Garden, Hitec City, Hyderabad"
HTL_VTZ_01,Radisson Blu Resort Visakhapatnam Beachfront,Visakhapatnam,India,Luxury 5-Star,11500,4.9,4.9,"Panoramic Ocean Views, Private Beach Access, Infinity Pool, 3 Restaurants, Spa & Gym",https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800&q=80,"Rishikonda Beach Road, Visakhapatnam, Andhra Pradesh"
HTL_VTZ_02,The Gateway Hotel Beach Road (Taj Group),Visakhapatnam,India,Luxury 5-Star,8500,4.8,4.8,"Bay of Bengal Sea Facing Rooms, Lawson's Bar, Ming Garden Chinese, Outdoor Pool, Seaside Lawn",https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=800&q=80,"Dr. NTR Beach Road, Pandurangapuram, Visakhapatnam"
HTL_VTZ_03,Novotel Visakhapatnam Varun Beach,Visakhapatnam,India,Luxury 5-Star,9200,4.8,4.8,"Ocean Edge Infinity Pool, Executive Lounge, Teppanyaki Dining, Jogging Track Over Sea",https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=800&q=80,"Beach Road, Maharani Peta, Visakhapatnam"
HTL_VTZ_04,Keys Lite by Lemon Tree Hotels Vizag,Visakhapatnam,India,Mid-Range / Comfort,2800,4.5,4.5,"Central City Hub, Free Breakfast Buffet, Fitness Room, 24/7 Room Service, High Speed Wifi",https://images.unsplash.com/photo-1590490360182-c33d57733427?w=800&q=80,"Daba Gardens, Central Visakhapatnam"
HTL_VTZ_05,Hotel Supreme Beach Road Vizag,Visakhapatnam,India,Budget / Family Beach,1800,4.4,4.4,"Opposite RK Beach, Sea View Balcony, Andhra Seafood Restaurant, Travel Desk to Araku",https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=800&q=80,"RK Beach Road, Visakhapatnam"
